X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.95412018	40.79318117	AM	10102018	36H-AM-1010-02	Adult	Gray	Ground Plane		FALSE	FALSE	FALSE	FALSE	TRUE		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.95826943	40.79173678	AM	10082018	33F-AM-1008-02	Adult	Gray	Ground Plane		FALSE	FALSE	FALSE	FALSE	TRUE		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.9674286	40.78297239	PM	10062018	21C-PM-1006-01	Adult	Gray	Ground Plane		FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.97225002	40.77428796	AM	10102018	11D-AM-1010-03	Adult	Gray	Above Ground		FALSE	FALSE	TRUE	FALSE	FALSE	grooming	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.96950635	40.78235077	PM	10132018	20B-PM-1013-05	Adult	Gray	Ground Plane		FALSE	FALSE	FALSE	FALSE	TRUE		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.95321705	40.79196697	PM	10072018	36I-PM-1007-01	Adult	Gray	Ground Plane		FALSE	FALSE	FALSE	FALSE	TRUE		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.97686036	40.77027959	PM	10102018	5C-PM-1010-09	Adult	Cinnamon	Ground Plane		TRUE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.97061059	40.76981248	AM	10062018	7H-AM-1006-05	Adult	Gray	Above Ground		FALSE	TRUE	FALSE	FALSE	FALSE		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.97037817	40.77875261	PM	10182018	16C-PM-1018-03	Adult	Gray	Above Ground		TRUE	FALSE	FALSE	TRUE	TRUE		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.97039252	40.7765032	AM	10082018	14E-AM-1008-23	Adult	Gray	Ground Plane		FALSE	FALSE	FALSE	FALSE	TRUE	walking	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.96381794	40.79241733	PM	10132018	32A-PM-1013-03	Juvenile	Gray	Ground Plane		FALSE	FALSE	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.9584071	40.79138125	AM	10082018	33F-AM-1008-01	Adult	Gray	Ground Plane		FALSE	FALSE	FALSE	FALSE	FALSE	moving slowly	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.96711307	40.77848597	AM	10072018	17F-AM-1007-07	Adult	Gray	Above Ground		TRUE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.9649866	40.77649297	AM	10082018	16I-AM-1008-01	Adult	Cinnamon	Ground Plane		FALSE	FALSE	FALSE	FALSE	TRUE		FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.96706286	40.77349914	AM	10132018	12I-AM-1013-01	Adult	Cinnamon	Ground Plane	on tree roots	FALSE	FALSE	FALSE	FALSE	FALSE	sitting	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.95873659	40.79085244	PM	10082018	32F-PM-1008-07	Adult	Gray	Ground Plane		TRUE	TRUE	FALSE	FALSE	TRUE		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.96717867	40.78673528	AM	10132018	25A-AM-1013-04					FALSE	FALSE	FALSE	FALSE	TRUE		FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.96929433	40.77695361	AM	10132018	15E-AM-1013-01	Adult	Gray	Ground Plane		TRUE	FALSE	FALSE	FALSE	TRUE		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.95400541	40.7952446	PM	10132018	39G-PM-1013-06	Adult	Gray	Ground Plane		TRUE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.95765302	40.78686595	PM	10072018	29I-PM-1007-01		Gray	Ground Plane		FALSE	FALSE	FALSE	TRUE	TRUE		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.97380333	40.77118469	AM	10062018	7E-AM-1006-02	Adult	Gray	Ground Plane	under a tree	FALSE	FALSE	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.97044027	40.77989656	PM	10132018	17C-PM-1013-05	Adult	Gray	Ground Plane		FALSE	FALSE	FALSE	TRUE	FALSE	eating (ate upside down on a tree 鈥?#jealous)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.97569761	40.77538973	PM	10142018	10A-PM-1014-01	Adult	Gray	Ground Plane	in b/w trees	FALSE	FALSE	FALSE	FALSE	TRUE		FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.9662439	40.78903818	PM	10072018	28A-PM-1007-05	Adult	Cinnamon	Ground Plane		TRUE	FALSE	FALSE	FALSE	TRUE		FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.96431539	40.78208185	PM	10142018	22F-PM-1014-05	Adult	Gray	Ground Plane		FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.97420735	40.77579574	AM	10072018	12B-AM-1007-01	Adult	Gray	Ground Plane		FALSE	TRUE	FALSE	FALSE	FALSE		FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.97161471	40.7813911	PM	10182018	18A-PM-1018-01	Adult	Gray	Above Ground		FALSE	FALSE	TRUE	FALSE	FALSE		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.95354107	40.79287118	PM	10082018	36H-PM-1008-02	Adult	Gray	Ground Plane		FALSE	FALSE	FALSE	FALSE	TRUE		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.96391593	40.78917746	AM	10072018	29C-AM-1007-06	Adult	Gray	Ground Plane		TRUE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.95795643	40.79593378	PM	10142018	38C-PM-1014-09	Adult	Black	Ground Plane		FALSE	FALSE	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.95746481	40.78925084	PM	10082018	31H-PM-1008-02	Juvenile	Gray	Above Ground		TRUE	FALSE	TRUE	FALSE	FALSE		FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.97025268	40.77059996	AM	10172018	8H-AM-1017-06	Adult	Gray	Above Ground		FALSE	TRUE	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
X	Y	Shift	Date	Unique Squirrel ID	Age	Primary Fur Color	Location	Specific Location	Running	Chasing	Climbing	Eating	Foraging	Other Activities	Kuks	Quaas	Moans	Tail Flags	Tail Twitches	Approaches	Indifferent	Runs from
-73.95796459	40.79186135	AM	10072018	34F-AM-1007-01	Adult	Gray	Above Ground		TRUE	FALSE	TRUE	FALSE	FALSE		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
